Panel,Round,Staining,Marker
CAFpanel,1,DAPI,Nuclei
CAFpanel,1,AF488,PDGFRbeta
CAFpanel,1,AF555,FAP
CAFpanel,1,AF647,pSTAT3
CAFpanel,1,AF750,aSMA
CAFpanel,2,AF647,Collagen I
CAFpanel,2,AF750,Epithelial
TcellPanel,1,DAPI,Nuclei
TcellPanel,1,AF488,PD-1
TcellPanel,1,AF555,CD3
TcellPanel,1,AF647,PD-L1
TcellPanel,1,AF750,CD8
TcellPanel,2,AF647,TIM-3
TcellPanel,2,AF750,FOXP3
TcellPanel,3,AF647,GranzymeB
TcellPanel,3,AF750,Ki67
TcellPanel,4,AF647,CD4
TcellPanel,4,AF750,Epithelial
TMEpanel,1,DAPI,Nuclei
TMEpanel,1,AF488,CD68
TMEpanel,1,AF555,CD3
TMEpanel,1,AF647,CD56
TMEpanel,1,AF750,CD11b
TMEpanel,2,AF647,PDGFRbeta
TMEpanel,2,AF750,CD20
TMEpanel,3,AF647,CD31
TMEpanel,3,AF750,CD45
TMEpanel,4,AF647,HLA-DR
TMEpanel,4,AF750,Epithelial
